data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5565299,376,ISR424,424,5/20/2018,2018,1,Protests,Peaceful protest,Protesters (Israel),Palestinian Arab Ethnic Group (Israel),6,Protesters (Israel),,6,66,Middle East,Israel,Haifa,Haifa,,Haifa,32.8184,34.9885,1,Jerusalem Post; Times of Israel,National,Protests continued on May 20 with hundreds demonstrating in three different locations in Haifa while right-wing activists held counter protests.,0,1563305273,ISR
4636376,376,ISR421,421,5/20/2018,2018,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Palestine),,3,,,0,30,Middle East,Israel,HaDarom,Ashqelon,,Saad,31.4714,34.5346,2,Jerusalem Post,National,Fires broke out near Kfar Aza and Sa'ad on May 20. The fires are thought to have been set by fire kites and Molotov cocktails from the Gaza Strip.,0,1552576682,ISR
5361150,376,ISR425,425,5/20/2018,2018,1,Protests,Peaceful protest,Protesters (Palestine),Prisoners (Palestine),6,,,0,60,Middle East,Israel,HaDarom,Beer Sheva,,Eshel HaNasi,31.3257,34.6974,2,Times of Israel,National,Palestinian prisoners protested following the death of an inmate who had assaulted a guard. Protests were reported on May 20 at Eshel Prison near Be'er Sheva.,0,1561470064,ISR
5361151,376,ISR426,426,5/20/2018,2018,1,Protests,Peaceful protest,Protesters (Palestine),Prisoners (Palestine),6,,,0,60,Middle East,Israel,HaDarom,Beer Sheva,,Qeziot,30.8765,34.4597,1,Times of Israel,National,Palestinian prisoners protested following the death of an inmate who had assaulted a guard. Protests were reported on May 20 at Ketziot (Qeziot) Prison in the Negev.,0,1561470064,ISR
5565298,376,ISR423,423,5/19/2018,2018,1,Protests,Peaceful protest,Protesters (Israel),Palestinian Arab Ethnic Group (Israel),6,,,0,60,Middle East,Israel,Haifa,Haifa,,Haifa,32.8184,34.9885,1,Jerusalem Post,National,"On May 20, more than 200 protesters demonstrated in Haifa against the escalation in Gaza.",0,1563305273,ISR
5565295,376,ISR419,419,5/18/2018,2018,1,Protests,Protest with intervention,Police Forces of Israel (2009-),,1,Protesters (Israel),Palestinian Arab Ethnic Group (Israel),6,16,Middle East,Israel,Haifa,Haifa,,Haifa,32.8184,34.9885,1,Jerusalem Post; Times of Israel,National,21 demonstrators were arrested in Haifa as hundreds of Palestinian citizens of Israel and Israeli leftist gathered to demonstrate in solidarity with Gaza on May 18.,0,1563305273,ISR
5565297,376,ISR422,422,5/18/2018,2018,1,Violence against civilians,Attack,Police Forces of Israel (2009-),,1,Civilians (Israel),Palestinian Arab Ethnic Group (Israel),7,17,Middle East,Israel,Haifa,Haifa,,Haifa,32.8184,34.9885,1,Jerusalem Post,National,The director of Mossawa was detained May 18 and was hospitalized May 19 after his knee was broken during interrogation following his arrest.,0,1563305273,ISR
5361149,376,ISR420,420,5/18/2018,2018,1,Protests,Peaceful protest,Protesters (Israel),Women (Israel),6,,,0,60,Middle East,Israel,Jerusalem,Jerusalem,,Jerusalem,31.769,35.2163,1,Times of Israel,National,Around 600 demonstrators marched in a Slutwalk through Jerusalem to protest rape culture on May 18.,0,1561470064,ISR
7068097,376,ISR418,418,5/16/2018,2018,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Palestine),,3,Civilians (Israel),,7,37,Middle East,Israel,HaDarom,Ashqelon,,Sderot,31.525,34.5969,1,Arutz Sheva; AFP,National-International,"Property destruction: On May 16 2018, bullets from heavy fire in Gaza hit 6 houses in the Israeli town of Sderot, which caused damage but no injuries.",0,1587999664,ISR
6229318,376,ISR417,417,5/14/2018,2018,1,Protests,Protest with intervention,Police Forces of Israel (2009-),,1,Protesters (Israel),High Follow-Up Committee,6,16,Middle East,Israel,Jerusalem,Jerusalem,,Jerusalem,31.769,35.2163,1,Arutz Sheva; BBC News,National-International,Dozens of demonstrators gathered to protest against the opening of the US embassy in Jerusalem on May 14 in an event organized by the High Follow-Up Committee. 14 demonstrators were arrested after the protests leaders argued with and pushed police.,0,1572403608,ISR
