data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5363098,275,PSE1666,1666,3/16/2018,2018,1,Riots,Violent demonstration,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Bethlehem,,Bethlehem,31.7049,35.2038,1,Palestine News and Information Agency,National,Clashes erupted between Palestinian demonstrators and Israeli forces on Friday during a rally in Bethlehem.,0,1561470067,PSE
5363099,275,PSE1667,1667,3/16/2018,2018,1,Protests,Protest with intervention,Military Forces of Israel (2009-),,8,Protesters (Palestine),,6,68,Middle East,Palestine,West Bank,Ramallah,,Nilin,31.9467,35.0217,1,Palestine News and Information Agency,National,"Israeli army fired teargas canisters at demonstrators in the nearby village of Ni'lin, causing many cases of suffocation by teargas inhalation.",0,1561470067,PSE
5363100,275,PSE1668,1668,3/16/2018,2018,1,Riots,Violent demonstration,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Qalqilya,,Kafr Qaddum,32.2216,35.1447,1,Palestine News and Information Agency,National,"In Qalqilia district, dozens of demonstrators suffocated from teargas inhalation during clashes with Israeli army in the village of Kafr Qaddum.",0,1561470067,PSE
5363101,275,PSE1669,1669,3/16/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Al Quds,,Abu Dis,31.7622,35.2617,1,Palestine News and Information Agency,National,"19 Palestinians were either injured by rubber-coated steel rounds or suffocated from teargas inhalation during clashes with Israeli forces in the town of Abu Dis, to the east of Jerusalem, on Friday evening. The injuries were sustained during clashes with Israeli security forces.",0,1561470067,PSE
5363103,275,PSE1670,1670,3/16/2018,2018,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),Farmers (Palestine),7,78,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5,34.4667,2,Palestine News and Information Agency,National,Israeli forces Saturday opened fire at Palestinian farmers and shepherds to the east of the city of Gaza and fishermen in the northern Gaza sea. No casualties reported.,0,1561470067,PSE
6271963,275,PSE1679,1679,3/16/2018,2018,1,Riots,Violent demonstration,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,Gaza Strip,Gaza,,Al Mintar Crossing,31.4739,34.4736,2,Jerusalem Post,Regional,A Palestinian demonstrator was injured along the border fence with Gaza near Nahal Oz when clashes broke out with Israeli forces.,0,1572403724,PSE
6250464,275,PSE1660,1660,3/16/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Nablus,,Nablus,32.2211,35.2544,2,Anadolu Agency,Regional,"Near the northern cities of Nablus and Tulkarm, six Palestinians were hurt by rubber bullets, while 60 others suffered the effects of excessive teargas. The injuries were sustained during clashes with Israeli forces.",0,1572403698,PSE
6250751,275,PSE1661,1661,3/16/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Tulkarm,,Tulkarm,32.3104,35.0286,2,Anadolu Agency,Regional,"Near the northern cities of Nablus and Tulkarm, six Palestinians were hurt by rubber bullets, while 60 others suffered the effects of excessive teargas. The injuries were sustained during clashes with Israeli forces.",0,1572403698,PSE
6231629,275,PSE1653,1653,3/15/2018,2018,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2009-),,8,,,0,80,Middle East,Palestine,Gaza Strip,North Gaza,,Bayt Hanun,31.5353,34.5358,1,AFP; BBC News; AP,International,"Israel's military hit Hamas posts in the Gaza Strip on Thursday after Palestinians set off two bombs near the border fence. One Israeli round hit an observation post near the border, causing damage but no casualties.",0,1572403611,PSE
6272352,275,PSE1656,1656,3/15/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Al Quds,,Al Ayzariyah,31.7708,35.2692,1,Jordan News Agency,Regional,"At least nine Palestinians were injured by rubber-coated steel bullets and 27 others suffocated from teargas inhalation, during clashes with Israeli forces in the town of al-Ezariya, to the east of Jerusalem Thursday evening.",0,1572403724,PSE
6231659,275,PSE1830,1830,3/15/2018,2018,3,Violence against civilians,Attack,Settlers (Israel),,3,Civilians (Palestine),,7,37,Middle East,Palestine,West Bank,Al Quds,,Shufat,31.8165,35.2275,1,Palestinian News Network; Jordan News Agency,National-Regional,"An elderly Palestinian man passed away April 16 after being hit by a settler vehicle about a month earlier in Shufat (coded as March 16, geoprecision 2).",1,1572403611,PSE
5363091,275,PSE1654,1654,3/15/2018,2018,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Palestine),,3,,,0,30,Middle East,Palestine,Gaza Strip,North Gaza,,Bayt Hanun,31.5353,34.5358,2,AFP,International,Two IEDs were detonated some 100 metres away from the border fence between Israel and Northern Gaza on the Gaza side. There was no immediate claim of responsibility for the blasts and no casualties.,0,1561470067,PSE
6316467,275,PSE1657,1657,3/15/2018,2018,1,Protests,Peaceful protest,Protesters (Palestine),,6,,,0,60,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5,34.4667,1,Xinhua,International,"Hundreds of Palestinians demonstrated in Gaza City on Thursday, calling on the international community to continue supporting the United Nations agency aiding Palestinian refugees.",0,1572403788,PSE
6255325,275,PSE1655,1655,3/15/2018,2018,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,Hamas Movement,PIJ: Palestinian Islamic Jihad,3,38,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5,34.4667,2,BBC News,International,Israeli strikes targeted several farms and resistance monitoring sites near the power station to the east of Gaza City and in Beit Hanoun.,0,1572403704,PSE
6231628,275,PSE1650,1650,3/13/2018,2018,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Palestine),,3,Fatah Movement,Government of Palestine (1994-) Palestinian National Authority,3,33,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5,34.4667,1,AFP; Xinhua,International,"A bomb blast targeted Palestinian prime minister Rami Hamdallah's convoy during a rare visit to the Gaza Strip on Tuesday, leaving him unhurt but provoking outrage over what officials called an assassination attempt. Six of Hamdallah's security guards (Fatah Movement) were injured in the explosion.",0,1572403611,PSE
